"sample_name" "organism" "host" "collection_date" "geo_loc_name" "lat_lon"
"P2-FLD0054_S54_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0055_S55_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0055_S55_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0055_S55_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0056_S56_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0056_S56_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0056_S56_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0057_S57_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0057_S57_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0057_S57_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0058_S58_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0058_S58_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0058_S58_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0059_S59_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0059_S59_L001_R1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0059_S59_L001_R2_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
"P2-FLD0060_S60_L001_I1_001.fastq.gz" "metagenomic" "Crocuta crocuta" "missing" "Serengeti National Park (Tansania)" "-2.32_34.83"
